master,random,greedy,beam,mcts,mcts_Cp_10,manual
bilateral_grid,63.666666666666664,605.6666666666666,93.0,162.0,289.3333333333333,223.33333333333334,-1
local_laplacian,271.3333333333333,622.6666666666666,335.3333333333333,549.0,4214.0,3799.0,-1
nl_means,165.33333333333334,611.0,123.33333333333333,131.0,526.0,381.6666666666667,-1
lens_blur,323.3333333333333,615.3333333333334,297.0,360.6666666666667,2946.0,2584.0,-1
camera_pipe,104.33333333333333,617.3333333333334,144.33333333333334,108.0,1095.3333333333333,1002.3333333333334,-1
stencil_chain,201.66666666666666,647.6666666666666,395.0,178.0,1205.0,1099.0,-1
harris,30.666666666666668,605.3333333333334,33.0,36.0,405.3333333333333,382.0,-1
hist,33.0,604.3333333333334,36.666666666666664,33.666666666666664,249.33333333333334,226.33333333333334,-1
max_filter,42.0,609.6666666666666,35.0,38.333333333333336,223.66666666666666,193.33333333333334,-1
unsharp,40.0,606.0,62.666666666666664,48.666666666666664,262.6666666666667,227.33333333333334,-1
interpolate,130.66666666666666,610.3333333333334,365.3333333333333,154.0,2103.0,1854.6666666666667,-1
conv_layer,37.0,603.3333333333334,37.333333333333336,38.0,99.0,67.66666666666667,-1
iir_blur,31.333333333333332,605.0,35.333333333333336,30.333333333333332,186.0,162.66666666666666,-1
bgu,276.3333333333333,632.3333333333334,125.33333333333333,103.0,667.3333333333334,572.3333333333334,-1
mat_mul,33.333333333333336,602.6666666666666,30.0,30.0,92.66666666666667,66.66666666666667,-1
resnet_50_blockwise,50201.333333333336,-1,50205.666666666664,50211.0,5013921.0,501497.6666666667,-1
