master,random,greedy,beam,mcts,mcts_Cp_10,manual
bilateral_grid,0.01202721,0.01146424,0.012634590000000001,0.01189426,0.011553979999999998,0.011584309999999999,0.01067843
local_laplacian,0.0724156,0.11033119999999999,0.0642724,0.0733276,0.08767330000000001,0.0860121,0.051378599999999996
nl_means,0.08986709999999999,0,0.086431,0.0341637,0.0319742,0.034808900000000004,0.0838761
lens_blur,0.010136599999999999,0,0.00565293,0.0039851899999999996,0.00720236,0.0043079799999999994,0.00527953
camera_pipe,0.0072313,0.0117894,0.00523523,0.00662114,0.0033858499999999997,0.00691489,0.0030154699999999997
stencil_chain,0.010472799999999999,0.0459141,0.00757179,0.00963209,0.00486233,0.00503387,0.0050373
harris,0.0010780400000000002,0.00208438,0.00100377,0.00145117,0.00109223,0.00106219,0.0007586509999999999
hist,0.00727761,0.00211605,0.00318838,0.0017881400000000001,0.0024448599999999997,0.0024491200000000004,0.0017037500000000002
max_filter,0.0484459,0.088816,0.101133,0.0280538,0.0706922,0.063908,0.0406558
unsharp,0.00240024,0.00175833,0.00215659,0.00162687,0.0016312599999999998,0.00156485,0.00128863
interpolate,0.012211499999999998,0.00877445,0.00583411,0.0165007,0.00865226,0.00763627,0.00315727
conv_layer,0.0159336,0,0.011701399999999999,0.0249994,0.0182278,0.0181378,0.00613151
iir_blur,0.0521509,0.0315259,0.0480472,0.0474829,0.0285109,0.048679900000000005,0.010558999999999999
bgu,0.035002200000000004,0.024610299999999998,0.0123949,0.012186299999999999,0.0127525,0.0130303,0.009112180000000001
mat_mul,0.036648,0,0.0177927,0.016620799999999998,0.016180299999999998,0.0160387,0.0205258
resnet_50_blockwise,0.103119,0.457055,0.0546169,0.0356283,0.0272336,0,38.7115
