master,random,greedy,beam,mcts,mcts_Cp_10,manual
bilateral_grid,0.01200808,0.01137556,0.01262399,0.01187931,0.01144587,0.0104746,0.010674510000000002
local_laplacian,0.07181760000000001,0.0604204,0.06425120000000001,0.0732402,0.0658204,0.0732798,0.0513405
nl_means,0.08970950000000001,0,0.0864079,0.0341281,0.0318601,0.0337981,0.0838218
lens_blur,0.0101237,0,0.0056471099999999995,0.00396239,0.00466367,0.00402694,0.0052784500000000005
camera_pipe,0.00718459,0.0106894,0.00509428,0.00644867,0.00328898,0.00539447,0.0028654699999999997
stencil_chain,0.0104639,0,0.00750782,0.009626480000000001,0.00484417,0.0043291300000000005,0.0050285799999999995
harris,0.00106906,0.0013581,0.00100213,0.00144938,0.00107574,0.00101385,0.0007562370000000001
hist,0.00705423,0.00196049,0.00317963,0.00177805,0.0019252100000000001,0.0018236399999999999,0.000993396
max_filter,0.0482987,0.0854588,0.101025,0.028000900000000002,0.028199000000000002,0.0270834,0.040547400000000004
unsharp,0.00239667,0,0.00215465,0.0016222,0.0016254,0.0015457099999999998,0.0012844599999999999
interpolate,0.0119533,0,0.005829119999999999,0.0164727,0.007708039999999999,0.00591575,0.00314579
conv_layer,0.015598699999999998,0,0.011557399999999999,0.018262,0.018221699999999997,0.0165289,0.00608082
iir_blur,0.0448676,0,0.047938499999999995,0.047465400000000005,0.0279007,0.0467905,0.0105063
bgu,0.0343977,0,0.0123813,0.0121303,0.0121859,0.0112308,0.00910219
mat_mul,0.0366256,0,0.017752300000000002,0.0163845,0.016104399999999998,0.015108499999999999,0.020517900000000002
resnet_50_blockwise,0.10243600000000001,0.272408,0.0543964,0.0354234,0.0269071,0,38.665800000000004
