master,random,greedy,beam,mcts,mcts_Cp_10,manual
bilateral_grid,0.0,293.0,416.0,76179.0,2049842.3333333333,2112192.3333333335,-1
local_laplacian,0.0,2236.3333333333335,1984.0,387441.0,8142095.333333333,8509298.0,-1
nl_means,0.0,397.3333333333333,1200.0,232722.0,5303869.333333333,5459059.0,-1
lens_blur,0.0,3311.0,3664.0,513158.0,7748730.666666667,7894134.0,-1
camera_pipe,0.0,1034.3333333333333,915.0,156390.0,6227420.333333333,6148517.333333333,-1
stencil_chain,0.0,787.6666666666666,1449.0,265650.0,8204186.0,8151243.333333333,-1
harris,0.0,298.3333333333333,442.0,57064.0,9150849.0,7912123.0,-1
hist,0.0,147.0,268.0,31795.0,6332342.0,5114312.666666667,-1
max_filter,0.0,281.3333333333333,668.0,68444.0,4002605.6666666665,2840939.6666666665,-1
unsharp,0.0,173.66666666666666,488.0,54524.0,6238891.666666667,5882145.0,-1
interpolate,0.0,1032.3333333333333,1341.0,243802.0,8779902.666666666,8657389.333333334,-1
conv_layer,0.0,66.33333333333333,340.0,32828.0,3807809.0,3049088.6666666665,-1
iir_blur,0.0,60.0,159.0,20887.0,4855252.666666667,4181405.3333333335,-1
bgu,0.0,629.6666666666666,800.0,108986.0,1154298.3333333333,1116513.0,-1
mat_mul,0.0,18.666666666666668,104.0,9558.0,6304149.0,6381383.666666667,-1
resnet_50_blockwise,0.0,76187.33333333333,23366.0,3462086.0,107144228.66666667,6180957.666666667,-1
