master,random,greedy,beam,mcts,mcts_Cp_10,manual
bilateral_grid,0,9.53678,6.04005,4.94467,4.8181,4.8181,-1
local_laplacian,0,0,100.599,102.049,44.6108,42.029,-1
nl_means,0,0,13.153,6.75319,6.75807,6.71205,-1
lens_blur,0,28.4694,13.7899,8.81578,7.02267,6.54764,-1
camera_pipe,0,29.0659,7.34239,4.20369,3.97351,4.19881,-1
stencil_chain,0,0,90.676,78.0111,70.5065,70.4204,-1
harris,0,5.09244,3.046,1.79334,1.76484,1.76688,-1
hist,0,9.22612,10.1424,6.38246,4.71519,4.49749,-1
max_filter,0,113.225,257.567,61.8124,58.9021,58.9021,-1
unsharp,0,0,5.56087,4.37916,4.37916,4.37916,-1
interpolate,0,0,19.071,17.7672,14.4007,14.3647,-1
conv_layer,0,0,23.3684,23.36,23.36,23.36,-1
iir_blur,0,0,93.9804,9.24476,9.59189,9.29267,-1
bgu,0,88.6856,22.3583,16.6534,15.9762,16.1611,-1
mat_mul,0,0,16.3548,11.5766,11.5766,11.5766,-1
resnet_50_blockwise,0,425.7099099999999,66.13157,37.171744999999994,21.96874,0,-1
