harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
205.065091,190.375694,3536.536648,3695.210799,172.663350,230.258984,167.398423,180.612239,870.355153,1301.490273,521.232754,427.768101,3565.054415,3451.175266,85.746103,58.727615,1031.001512,990.311220,90.839626,81.603933
374.362008,387.502049,3694.295192,4920.753402,136.284800,135.127415,202.311346,197.928110,833.652379,818.909768,735.980379,779.038389,3370.590681,3571.879606,134.419482,109.904270,1110.147761,1081.520274,107.598113,97.241199
252.716490,232.279961,4176.725979,4604.651232,167.247388,178.679984,121.980307,130.171685,1042.231845,1014.143840,735.409193,766.348860,4155.785102,4151.975610,82.280483,94.431002,832.318580,812.457668,91.449725,99.530279
275.848366,242.567070,3919.684567,4254.889493,192.406750,172.318957,113.369217,98.789207,889.289561,600.514170,387.900902,294.325566,3780.304770,3785.348187,111.740371,101.425282,1092.215980,1064.513886,225.751194,251.880363
389.265863,323.231104,2239.063886,1530.668268,195.710717,220.264061,153.816765,184.195328,959.644049,686.876743,540.055700,551.095228,2909.525661,3087.717416,92.590114,106.531358,1054.905229,714.865118,92.944607,115.951273
499.190838,486.683426,3990.889231,4443.801848,220.045136,213.359217,154.226339,161.040199,1252.422014,1246.573761,543.565015,491.571545,4001.466119,3717.536516,107.312629,133.410133,974.966569,929.391221,141.239149,113.467786
353.211063,439.646499,3024.152454,3087.354170,192.830425,194.741606,160.763493,160.441326,1223.111901,791.661379,308.197878,315.196871,3167.426969,2683.551342,138.999835,165.250138,711.542022,1005.718529,158.690214,151.894324
250.154448,251.904033,4650.201421,2995.968955,328.599405,336.690639,153.979977,160.578301,1136.855938,1445.255193,574.036131,560.679540,3331.257600,3512.480972,120.918903,138.732068,1224.680335,923.882174,149.624160,144.142089
397.811303,271.763416,4288.724341,4737.766451,143.135508,126.966680,237.050399,280.556575,1138.789714,1118.945651,660.591845,691.015428,3461.267204,3782.303679,118.803475,115.457053,1058.613582,1038.757461,252.384280,235.217868
452.787832,438.673139,4361.354170,4404.778190,244.883588,236.290553,146.840060,142.202469,955.779475,940.958880,290.239684,306.264291,1668.612985,3357.767158,95.311090,98.188195,980.715580,979.139898,192.057498,249.603242
308.180799,278.998135,4667.710126,4667.549472,157.166291,196.264860,250.977036,195.759251,1057.936493,1060.894629,304.314403,353.702749,2982.275592,2963.881344,106.785635,105.191060,1142.041595,1058.266291,123.604177,109.146281
287.455703,195.279521,3967.511820,4046.024053,183.573031,178.901537,130.660591,135.608502,848.835193,783.528335,398.214330,432.078284,3242.451815,2813.298657,103.417084,104.754449,982.775375,966.753320,137.715454,128.550756
296.143621,294.983970,4384.165452,4556.973169,222.294693,208.918814,204.560747,210.721850,912.709779,798.039346,441.483737,459.805318,3455.120218,3355.308692,192.194612,196.172615,1055.126609,726.651015,282.534090,271.574872
462.691851,447.325854,3327.437157,3357.865269,137.356130,138.259810,105.909589,157.322848,770.471172,780.150373,353.783241,323.887190,2086.342233,2098.102181,119.066981,114.485525,698.060611,827.865621,265.740115,258.499107
231.319790,320.078042,4236.606513,4044.658602,189.096157,184.761406,245.345973,162.810963,534.386126,381.238964,496.639056,442.535743,2741.457811,2760.417300,113.142398,110.611448,841.353775,1046.392538,120.882466,90.980613
