harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
2361.105094,2586.964164,403829.812454,423268.893064,3933.712792,3986.343016,5347.186455,5167.037394,52377.804408,49803.192793,47544.008593,14736.470722,173177.806765,182358.676830,1171.381810,1852.198317,15159.839080,14385.004876,340.393688,536.602135
2838.782000,3531.595605,211714.402420,239375.571534,2646.904511,2128.738067,4500.845503,4495.506950,19553.522501,28437.724783,95930.555741,106858.216066,200661.030654,197265.634377,8915.659988,9217.393522,9801.571203,10958.355488,274.883158,286.963617
1101.995181,1498.187367,416487.693527,432073.002369,4906.258944,6307.112666,4862.699834,5591.433752,35356.933244,39128.968483,54313.019703,64703.980497,267857.943983,259853.344925,1616.338647,3135.146418,12125.724234,13433.613604,526.458798,485.637498
1562.046627,2093.422911,304383.392678,305185.121395,2444.060711,2332.371107,4327.919326,3980.671259,10766.788623,11115.350594,41407.117475,54641.694796,309229.337711,319691.627666,2924.436939,4118.831044,11242.332099,13423.135725,1386.333866,1369.453682
1616.061969,1744.012434,28296.040441,28960.204410,2925.713768,3030.065141,6150.929692,5918.676397,46279.803036,45769.897199,58644.571228,69717.454874,184976.252341,187208.264782,1866.069960,2883.506570,12793.787860,12229.506464,404.689630,434.695408
429.280003,598.865984,320420.024430,368071.453347,2968.892358,2893.190451,3969.741905,4265.119429,19704.405954,23899.837274,66118.744547,68686.559698,317031.722737,316519.200124,690.452131,680.437384,9097.816461,7568.693670,844.986143,905.461599
678.508230,689.213353,51262.404290,54946.308269,3441.376334,3212.896355,2618.845554,3189.400681,32638.331861,32124.149354,10193.810705,11021.412726,121096.358678,118018.269795,3303.160794,3298.634514,13239.644367,14016.872059,1531.449675,1376.263355
1492.763375,923.619995,189655.672940,222837.611791,974.139009,1156.260437,4678.821966,4629.033331,33181.161355,34675.790866,64843.793940,71044.788636,152840.945545,156839.376429,4471.485245,4691.589560,15826.919779,17011.498909,1238.147236,2008.365115
2474.413914,2726.615909,383940.837226,432869.472216,1409.115243,1450.752769,6259.225388,7271.699309,37392.794522,40320.867943,101507.608732,97185.427252,272479.982111,270774.508640,1061.621160,1513.413595,11301.758892,13063.310917,1338.333201,1534.758088
826.579326,823.166837,266886.646612,279583.925277,2800.907292,2191.042080,3056.584140,3286.684624,8234.327198,8681.592098,17102.638693,6972.783273,188500.612836,184901.642077,6917.387852,5815.352811,13722.261994,12863.902065,1528.863483,1437.268368
1697.447390,2050.287962,438827.460567,481715.719300,2142.751717,1858.327794,2845.648815,3291.378388,8926.510060,11000.139799,40120.516310,51267.035817,152433.440604,160509.633559,2395.106048,1899.891441,14064.001430,16246.078942,990.611658,1032.257606
1491.997827,1421.628245,417356.426276,424557.006356,1713.077969,1754.284950,4770.338008,4401.729976,12271.663613,12382.885386,32827.201337,71594.098811,184402.615179,188267.935486,5627.172962,3913.122329,11343.212510,12059.367074,899.221419,349.740996
