harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
1382.347748,1373.202687,33003.606372,34649.161587,1381.160332,1395.042134,1003.145144,1041.238745,2928.139139,3090.884790,2491.073294,1365.313875,15654.194072,16232.354479,251.878125,236.468917,4511.478716,4411.702180,329.759743,318.004335
2016.762235,2040.969480,32679.646171,33098.695158,1533.149857,1523.427740,936.284561,951.183699,9487.307203,10187.783929,9618.277248,12833.809672,15585.709536,20441.774902,705.083805,700.089496,2644.753306,2567.528378,209.416135,210.208979
780.008524,836.634283,35864.024568,33330.177104,1067.268403,1086.429835,778.299596,866.640990,5536.273051,5630.979801,4978.821290,5158.375482,14273.048980,21002.359198,381.235435,375.318497,2764.393604,3026.120257,343.425181,352.783743
1204.323627,1276.817441,36815.851627,37210.832602,1279.648219,1285.885153,977.410691,942.861010,6149.128881,4535.946143,1939.779573,2319.635139,16958.347283,23611.661093,376.886349,382.511571,3636.117777,3769.644608,1310.215758,1296.491013
1997.570321,1978.527121,9815.327622,9910.798452,2130.586510,2134.403799,1071.935077,1077.346920,3304.322222,3177.855388,4170.195532,5375.114927,16954.011124,14514.278126,529.276534,553.619569,3582.092012,3403.711103,329.949443,329.874209
3343.980692,3390.069651,27564.344076,19922.506134,1763.678089,1808.204572,888.970516,908.844792,4461.512828,4716.880137,3851.721199,4187.386511,20454.036896,25683.088580,201.224844,198.501711,1867.199000,1915.426097,301.820470,302.751399
3951.119105,4290.351827,16077.590354,16738.615473,1608.540192,1628.852655,554.991758,558.155074,3246.366058,3226.633422,1020.524521,1110.207815,17542.487337,17274.469438,969.523408,962.886834,3055.330357,3396.226562,654.150757,645.016846
906.500958,1323.224912,56712.814310,55641.981018,3561.525568,3558.665538,908.096765,986.718853,8979.705197,7445.505045,7499.799505,7309.068584,15343.352418,15448.196194,691.913117,712.097158,4227.919876,5362.164458,573.404458,567.403598
1790.561495,1586.736158,60402.062121,63932.070722,918.779313,892.532339,1881.038769,1931.215219,4707.515895,4722.230171,10784.311656,12625.536791,18246.135112,25640.962812,257.205116,256.346064,5091.722789,4394.342997,1017.533381,1000.679972
3116.000676,3595.400905,33437.047787,35028.836167,1262.176483,1313.847935,1032.722748,1075.060350,6564.985487,6581.537370,2625.140445,1434.116178,14187.439306,21561.393931,567.277891,680.663782,4163.159932,3619.582077,1029.143134,1041.570326
1306.502536,1827.190221,39691.642907,34485.573496,1502.052945,1511.422910,2493.708888,2511.031251,6672.776276,7413.131686,3257.143516,4232.239153,18866.411243,19299.195425,419.734533,327.300211,4280.477922,4257.068060,306.341457,316.754720
1991.895308,2268.821881,35406.041765,33858.150437,1400.764518,1387.923017,1042.483284,1059.551123,6285.609489,5613.797265,5772.588803,4776.213514,20034.896740,19569.391197,520.405199,700.504252,3677.777078,4631.101949,211.014973,214.831958
