harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
2869784,2925920,751108896,751111956,2621504,2621504,7315648,7315648,115650948,115650948,25970048,25970048,38192896,37780194,3145860,3145860,177476844,177476844,696716452,696716452
9096192,9096192,792449748,792449748,7112832,7112832,5349568,5349568,75179068,76656124,11528768,11528768,33079382,32705966,3145860,3145860,177125752,177125752,696716452,696716452
737408,898752,1373727440,1373727440,2160768,2160768,4481216,4481216,102843569,104670386,14959360,14957312,34446284,34836188,3727492,3727492,170424232,170424232,692941604,692941604
6147584,6147584,792449748,792449748,5165312,5165312,13189504,13189504,97735850,96336072,32002304,32002304,37818112,37818112,4457212,4457212,151141368,151141368,667058688,667189508
1132480,1132480,792449748,792449748,2807936,2807936,4481216,4481216,107340506,107340506,25765632,25765632,47727254,46967520,5292284,5295236,170473384,170473384,692941604,692941604
2065024,2065024,2165977020,2165977020,5263488,5263488,11087104,11087104,95018693,92141859,12331648,12331648,33781984,32894456,3148164,3148164,175975916,175975916,696716452,696716452
2810496,2810496,674876356,674876356,12830912,12830912,7154944,7154944,71936282,70930554,12112512,12112512,54949216,52459638,3145860,3145860,170377592,170377592,696716452,696716452
1306304,1306304,792449748,792449748,4049536,4049536,6660288,6660288,97847498,98586026,27833152,27833152,42317088,42317088,5283972,5283972,170377592,170377592,692941604,692941604
2583232,2525632,1119952748,1119952748,2621504,2621504,8544448,8544448,77196506,77780478,9370240,9370240,36173204,36374414,3342468,3342468,170377592,170377592,665096388,665096388
1722560,1722560,792449748,792449748,3598528,3598528,15179968,15179968,95757221,95757221,16028352,16028352,33124528,34848198,4505860,4408824,199613784,199613784,654366788,654366788
2953692,3328076,792449748,792449748,3457152,3457152,5349568,5349568,96997322,96258794,18045312,18045312,33531776,33771202,3145860,3145860,170377592,170377592,696716452,696716452
2054592,2054592,790964948,790964948,2621504,2621504,3301568,3301568,78055902,77492513,7223936,7223936,32393508,33552512,3727492,3727492,172795944,172795944,696716452,696716452
6167872,11033136,792449748,792449748,3065984,3065984,26036480,26036480,133414217,133414217,21564800,21564800,35135570,35172366,3148164,3148164,170377592,170377592,696716452,696716452
2668544,2668544,1082080884,1082080884,2621504,2621504,5349568,5349568,65030773,61377002,11140992,11140992,39741728,38459548,3145860,3145860,170598840,170598840,696716452,696716452
2356992,2313792,795126084,795126084,7112832,7112832,5349568,5349568,99510096,100642124,17067904,17067904,42136962,37789992,3145860,3145860,170377592,170377592,696716452,696716452
2054592,2054592,859622784,859622784,2621504,2621504,5349568,5349568,97903786,97903786,7223936,7223936,36829640,36574856,3145860,3145860,170377592,170377592,696716452,696716452
2054592,2054592,792449748,792449748,2621568,2621568,50938240,50938240,95757221,96997322,7223936,7223936,35004524,35646008,4505860,4457212,170424232,170424232,667058688,667058688
786560,786560,762297560,762297560,2160768,2160768,3301568,3301568,95757221,95757221,16442944,16442944,33971746,35943776,3727492,3727492,170377592,170377592,692941604,692941604
2930544,2811096,792164716,792164716,2621504,2621504,5349568,5349568,97735850,97735850,30323648,30323648,35437080,35903548,3145860,3145860,170377592,170377592,696716452,696716452
46945984,46945984,818291376,818291376,7112832,7112832,5349568,5349568,74739485,73843560,13396544,13396544,47970970,46487968,3145860,3145860,170265272,170265272,696716452,696716452
1636544,1797888,770844468,770844468,2621504,2621504,8544448,8544448,72090838,79089728,23204544,23204544,36271964,32866580,3342468,3342468,170377592,170377592,665096388,665096388
2072704,2072704,844035080,844035080,2621504,2621504,26036480,26036480,97674700,97735850,11664064,11664064,37240170,37449700,3145860,3145860,169904552,170088936,696716452,696716452
1380608,1380608,792449748,792449748,4272384,4272384,11878784,11878784,45476468,45947908,49892864,49892864,29708572,30615968,7353596,7353080,176858140,176858140,643393088,643393088
8160812,8424064,798458724,798458724,2621568,2621568,18973056,18973056,161314330,161314330,12386048,12386048,45789050,45618268,6045828,6045828,206468236,206468236,697634020,697634020
3003072,3003072,1384331452,1385645772,2621504,2621504,5349568,5349568,157255001,157291106,11140992,11140992,49296946,50383872,3342468,3342468,170665400,170665400,696716452,696716452
2099444,2167168,792449748,792449748,2621568,2621568,16941568,16941568,96997322,93034844,149889016,149889016,33998244,33778780,4145716,4252252,170377592,170377592,667058688,667058688
1769280,1769280,793908948,793908948,3063936,3063936,11130176,11130176,74735838,72872573,21781056,21781056,36031032,36123862,3145860,3145860,170328440,170328440,696716452,696716452
1741008,1942168,772425696,772291296,2621504,2621504,7315648,7315648,54542260,52800378,34443200,34443200,40330496,38651136,3145860,3145860,171471224,171471224,696716452,696716452
2171456,2171456,792449748,792449748,2621504,2621504,7205120,7205120,115396996,115396996,6887744,6887744,39984368,40848250,7594116,7594116,177215704,177215704,696716452,696716452
1970560,2277884,452320852,452320852,2621568,2621568,13992320,13910396,105328156,105797499,15680768,15680768,40019264,38802556,4505860,4505860,170146740,170146740,697634020,697634020
2265472,2194676,792449748,792449748,2621568,2621568,14844288,14844288,66229214,65872344,12386048,12386048,36464382,36628992,4505860,4505860,187409756,187409756,666927868,666927868
2839128,3170496,930434776,930434776,2973824,2973824,10400000,10400000,97938250,97938250,15126400,14684544,35459040,35557124,4691012,4691012,176996632,176996632,696716452,696716452
16254256,16747424,764040528,764040528,7112832,7112832,7315648,7315648,96745986,96745986,24149888,24149888,36973798,36111386,3145860,3145860,176906808,176906808,696716452,696716452
7020032,7662848,775667840,775658880,7112832,7112832,11094272,11094272,54350066,54388244,27528064,27528064,47074304,47074304,3145860,3145860,170836920,170929144,696716452,696716452
3161600,3083680,805341200,805341200,7112832,7112832,5349568,5349568,96997322,97735850,9091712,9091712,41983008,42317088,3145860,3145860,170377592,170377592,696716452,696716452
2662720,2691520,791552724,791552724,2621504,2621504,7162112,7162112,107802714,108474009,25970048,25970048,49814172,51064608,3145860,3145860,170377592,170377592,696716452,696716452
5404224,5404224,792449748,792449748,7112832,7112832,7315648,7315648,74061108,74304834,6668160,6668160,43789632,43789632,3342468,3342468,170377592,170377592,696716452,696716452
2319728,2492088,792449748,792449748,2621504,2621504,17146048,17146048,95520266,96997322,15187840,15124352,32510120,32482468,3344772,3344772,170377592,170377592,696716452,696716452
1306304,1306304,792449748,792449748,1908864,1908864,5349568,5349568,73019167,68196062,22080064,22080064,58807136,57202136,4110468,4110468,199359380,199359380,654366788,654366788
0,0,792449748,792449748,3129472,3129472,46926080,46926080,97735850,95018693,15608640,15608640,33493946,33238008,3342468,3342468,170377592,170377592,665096388,665096388
9096192,9096192,792395476,792395476,7112832,7112832,5349568,5349568,95757221,96490980,11528768,11528768,32771540,35143916,3145860,3145860,170377592,170377592,696716452,696716452
3882880,3523072,1093204208,1093204208,2621504,2621504,7315648,7315648,44561213,47904465,80485384,80485384,37112900,38244292,3145860,3145860,171537784,171537784,696716452,696716452
2054592,2054592,792164716,792164716,2621504,2621504,5349568,5349568,97007302,97745770,7223936,7223936,36853142,38510872,3342468,3342468,170377592,170377592,696716452,696716452
6887296,6887296,792449748,792449748,3145856,3145856,16941568,16941568,39435140,40352047,46656512,46656512,49699904,46823808,4289332,4253624,170377592,170377592,693629796,693629796
2739968,2739968,852354840,852372752,1931392,1931392,7102656,7102656,101867296,100192189,18813824,18813824,78263360,75289632,3727492,3727492,169894776,169894776,692941604,692941604
2771280,3120660,796428780,796428780,2621504,2621504,5349568,5349568,100610360,99782638,23204544,23204544,40757650,37535366,3145860,3145860,170377592,170377592,696716452,696716452
1473792,1473792,1372017676,1373160452,2621504,2621504,8544448,8544448,77746216,77579916,30323648,30323648,36032244,34610634,3342468,3342468,200803464,200803464,665096388,665096388
1919680,1919680,488442620,488442620,2621504,2621504,7588096,7588096,109783580,109783580,17271616,17271616,31933088,31933088,4104324,4104324,174381580,174381580,688707940,688707940
3001104,3159216,762369752,762297560,7112832,7112832,7315648,7315648,95752001,94280165,14318464,13865344,38694578,40993874,3145860,3145860,170377592,170377592,696716452,696716452
18726136,18773760,791558868,791558868,2621568,2621568,18973056,18973056,76135616,70734267,32002304,32002304,54728000,54728000,3342596,3342596,199590232,199590232,697634020,697634020
2968256,2968256,854069824,854069824,2621504,2621504,8544448,8544448,155448334,155448334,6365056,6358912,33797990,34163424,3342468,3342468,170444152,170444152,665096388,665096388
2054592,2054592,792449748,792449748,2621504,2621504,5349568,5349568,178526685,178562790,7223936,7223936,43338098,39880804,3145860,3145860,170444152,170444152,696716452,696716452
2199936,2199936,1696477568,1696477568,3145856,3145856,16859776,16941568,133497225,133967268,12048000,12025472,57796024,59618144,3342596,3342596,170121332,170121332,693629796,693629796
786560,786560,796670736,796676112,2160768,2160768,3301568,3301568,108202400,109679456,16442944,16442944,38556244,38541122,4497476,4497476,177255596,177255596,692941604,692941604
786560,786560,512703188,512703188,2160768,2160768,3301568,3301568,97735850,97735850,16442944,16442944,34802616,34198000,3727492,3727492,173298376,173298376,692941604,692941604
1768644,1735432,793795284,793795284,2621504,2621504,7315648,7315648,75062980,75062980,15126400,14684544,37933832,37887544,3541380,3541380,170379768,170379768,696716452,696716452
