harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
2.24622,2.04172,71.1966,71.5149,4.68913,4.60367,8.03092,8.22894,7.5143,7.52709,16.5333,16.4536,20.0573,20.4269,0.97843,0.982003,28.4433,28.8012,116.592,118.035
4.01591,4.15402,140.409,140.12,4.22923,4.19823,8.55627,8.77341,14.6226,13.8,15.8934,14.9125,34.3926,33.3755,1.01487,1.01359,30.6625,28.8665,117.658,117.485
1.89771,1.85047,54.0943,54.0126,2.29218,2.30872,10.5799,11.2852,6.92332,7.05723,10.855,10.6592,14.1509,14.0457,0.989597,0.996242,31.5668,30.7948,136.188,136.65
1.46845,1.46661,51.2248,51.0677,4.71486,4.73029,8.47584,8.62436,6.83865,6.79189,18.674,18.5123,22.2809,21.1813,0.953859,0.957069,24.938,23.7791,146.161,148.388
1.81479,1.74182,82.2916,81.8609,4.56784,4.57404,8.07853,8.06565,7.54104,7.34972,14.7592,14.4306,19.7282,19.1339,1.02702,1.03373,24.9551,24.7537,193.137,198.39
1.71952,1.57911,82.0221,81.5196,3.4196,3.59953,9.59837,9.72446,8.80523,8.90793,14.1961,14.7626,24.8057,24.8324,0.933822,0.93835,28.703,30.8984,200.233,195.55
3.23379,3.2147,91.7989,91.5596,3.08001,3.09783,8.32899,8.55583,10.7479,10.5945,12.0036,11.6312,28.1611,29.5611,0.957654,0.969581,27.6465,26.891,160.45,151.663
3.27586,3.2699,69.8667,69.2158,3.71914,3.73349,8.81875,8.81719,4.65487,6.12876,11.7959,12.9591,26.4025,19.5587,0.959952,0.960782,30.5813,34.644,166.922,171.49
2.32785,2.22908,71.7896,71.0673,4.20892,4.23546,12.3438,12.5182,7.52842,7.43931,18.2789,17.9106,14.4811,20.5198,1.08019,1.07635,25.9227,27.977,116.022,112.012
1.69571,1.65483,111.664,113.78,3.28325,3.27016,8.69797,8.96056,15.3668,13.8447,12.5498,11.9597,20.3502,20.5515,1.00027,0.986092,27.054,24.2315,101.982,101.497
1.99382,1.99421,78.4818,76.3612,3.36734,3.41481,9.56483,9.31811,11.174,11.5319,7.51585,7.58728,21.5249,21.1143,0.971347,0.978655,29.7066,29.1075,113.658,114.72
1.86536,1.93129,70.4388,70.0575,4.76743,4.60353,8.19255,8.12756,7.86472,7.87966,9.99153,10.902,38.3036,37.1227,1.05882,1.05091,26.226,27.847,115.234,113.722
